idProduit;id_vendeur;idCategorie;libelle;descriptionProduit;idTVA;prixHT;prixTTC;nbAvis;note;estMasque;prixRemise;quantiteStock;seuilAlerte;quantiteUnite;unite
29;6;1;Gâteaux breton caramel 350g;Spécialité bretonne : gâteaux breton caramel 350g, pour une pause gourmande et conviviale.;1;3.99;4.2;0;null;false;4.2;367;30;350;g
30;6;1;Gâteaux breton framboise 350g;Spécialité bretonne : gâteaux breton framboise 350g, pour une pause gourmande et conviviale.;1;3.99;4.2;0;null;false;4.2;658;30;350;g
31;6;1;Bonbon caramel beurre salé 300g;Des délicieux bonbons au traditionnel caramel au beurre salé breton.;1;4.99;5.26;0;null;false;5.26;914;30;300;g
32;9;1;Pastis breton 75cl;Boisson traditionnelle : pastis breton 75cl, au goût unique et convivial.;1;5.99;6.23;0;null;false;6.23;686;30;75;cl
33;6;1;Madeleine 1000g;Spécialité bretonne : madeleine 1000g, pour une pause gourmande et conviviale.;1;3.99;4.2;0;null;false;4.2;968;30;1000;g
34;1;1;Crepe 12pc;Spécialité bretonne : crepe 12pc, pour une pause gourmande et conviviale.;1;5.99;6.23;0;null;false;6.23;403;30;12;Piece
35;15;1;Pâté de campagne 180g;Authentique pâté de campagne 180g, préparé avec soin selon la tradition.;1;4.99;5.26;0;null;false;5.26;928;30;180;g
36;15;1;Pâté de porc 180g;Authentique pâté de porc 180g, préparé avec soin selon la tradition.;1;4.99;5.26;0;null;false;5.26;138;30;180;g
37;15;1;Pâté aux algues 180g;Authentique pâté aux algues 180g, préparé avec soin selon la tradition.;1;4.99;5.26;0;null;false;5.26;601;30;180;g
38;12;1;Kouign-amann 350g;Spécialité bretonne : Kouign-amann 350g, pour une pause gourmande et conviviale.;1;6.99;7.37;0;null;false;7.37;186;30;350;g
39;19;1;Fromage fouetté nature au sel de Guérande 300g;Crème fromage fouetté nature au sel de Guérande 300g, idéal pour tartiner ou accompagner vos plats.;1;5.99;6.23;0;null;false;6.23;847;30;300;g
40;19;1;Fromage fouetté ail et fines herbes 300g;Crème fromage fouetté ail et fines herbes 300g, idéal pour tartiner ou accompagner vos plats.;1;5.99;6.23;0;null;false;6.23;607;30;300;g
41;19;1;Fromage fouetté figue noix 300g;Crème fromage fouetté figue noix 300g, idéal pour tartiner ou accompagner vos plats.;1;5.99;6.23;0;null;false;6.23;765;30;300;g
42;19;1;Fromage fouetté échalote ciboulette 300g;Crème fromage fouetté échalote ciboulette 300g, idéal pour tartiner ou accompagner vos plats.;1;5.99;6.23;0;null;false;6.23;178;30;300;g
43;19;1;Fromage fouetté poivre 300g;Crème fromage fouetté poivre 300g, idéal pour tartiner ou accompagner vos plats.;1;5.99;6.23;0;null;false;6.23;564;30;300;g
44;1;1;Galette 150g;Galette bretonne savoureuse (galette 150g).;1;4.99;5.26;0;null;false;5.26;947;30;150;g
45;10;1;Thé vert 100g;Thé vert 100g, parfum délicat pour une pause détente.;1;2.99;3.15;0;null;false;3.15;542;30;100;g
46;10;1;Thé noir 100g;Thé noir 100g, parfum délicat pour une pause détente.;1;2.99;3.15;0;null;false;3.15;731;30;100;g
47;10;1;Tisane caramel 100g;Tisane caramel 100g, parfum délicat pour une pause détente.;1;2.99;3.15;0;null;false;3.15;65;30;100;g
48;10;1;Tisane fruits rouges 100g;Tisane fruits rouges 100g, parfum délicat pour une pause détente.;1;2.99;3.15;0;null;false;3.15;533;30;100;g
49;10;1;Tisane réglisse menthe 100g;Tisane réglisse menthe 100g, parfum délicat pour une pause détente.;1;2.99;3.15;0;null;false;3.15;564;30;100;g
50;16;2;Ciré jaune;Vêtement breton : ciré jaune, robuste et typique.;3;59.99;71.99;0;null;false;71.99;831;30;1;L
51;16;2;Ciré bleu;Vêtement breton : ciré bleu, robuste et typique.;3;59.99;71.99;0;null;false;71.99;766;30;1;L
52;16;2;Ciré rouge;Vêtement breton : ciré rouge, robuste et typique.;3;59.99;71.99;0;null;false;71.99;204;30;1;L
53;16;2;Ciré gris;Vêtement breton : ciré gris, robuste et typique.;3;59.99;71.99;0;null;false;71.99;1000;30;1;L
54;16;2;Bottes jaune;Vêtement breton : bottes jaune, robuste et typique.;3;39.99;47.99;0;null;false;47.99;740;30;1;M
55;16;2;Bottes bleu;Vêtement breton : bottes bleu, robuste et typique.;3;39.99;47.99;0;null;false;47.99;457;30;1;M
56;16;2;Echarpe rayé bleu-blanc;Vêtement breton : écharpe rayé bleu-blanc, alliant style et tradition.;3;15.99;19.19;0;null;false;19.19;899;30;1;L
57;16;2;Echarpe motif triskel;Vêtement breton : écharpe motif triskel, alliant style et tradition.;3;15.99;19.19;0;null;false;19.19;51;30;1;L
58;16;2;Bonnet bleu;Vêtement breton : bonnet bleu, alliant style et tradition.;3;9.99;11.99;0;null;false;11.99;409;30;1;S
59;16;2;Bonnet motif drapeau breton;Vêtement breton : bonnet motif drapeau breton, alliant style et tradition.;3;9.99;11.99;0;null;false;11.99;284;30;1;S
60;16;2;Bonnet motif triskel;Vêtement breton : bonnet motif triskel, alliant style et tradition.;3;9.99;11.99;0;null;false;11.99;639;30;1;S
61;16;2;Pull motif drapeau breton;Vêtement breton : pull motif drapeau breton, alliant style et tradition.;3;19.99;23.99;0;null;false;23.99;739;30;1;L
62;16;2;Pull rayé noir-blanc;Vêtement breton : pull rayé noir-blanc, alliant style et tradition.;3;19.99;23.99;0;null;false;23.99;889;30;1;L
63;16;2;Pull rayé bleu-blanc;Vêtement breton : pull rayé bleu-blanc, alliant style et tradition.;3;19.99;23.99;0;null;false;23.99;928;30;1;L
64;16;2;Tee-shirt motif triskel;Vêtement breton : Tee-shirt motif triskel, alliant style et tradition.;3;14.99;17.99;0;null;false;17.99;54;30;1;M
65;16;2;Tee-shirt motif drapeau breton;Vêtement breton : Tee-shirt motif drapeau breton, alliant style et tradition.;3;14.99;17.99;0;null;false;17.99;746;30;1;M
66;16;2;Tee-shirt rayé bleu-blanc;Vêtement breton : tee-shirt rayé bleu-blanc, alliant style et tradition.;3;14.99;17.99;0;null;false;17.99;26;30;1;M
67;16;2;Tee-shirt vert blanc;Vêtement breton : tee-shirt vert blanc, alliant style et tradition.;3;14.99;17.99;0;null;false;17.99;394;30;1;M
68;3;3;Bol prénom;Bol breton prénom, incontournable de la vaisselle traditionnelle.;3;15.99;19.19;0;null;false;19.19;842;30;1;Piece
69;3;3;Bol décoré;Bol breton décoré, incontournable de la vaisselle traditionnelle.;3;15.99;19.19;0;null;false;19.19;249;30;1;Piece
70;3;3;Sculpture triskel;Objet décoratif : sculpture triskel, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;877;30;1;Piece
71;3;3;Sculpture bateau;Objet décoratif : sculpture bateau, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;570;30;1;Piece
72;3;3;Sculpture hermine;Objet décoratif : sculpture hermine, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;14;30;1;Piece
73;3;3;Menhir mini;Objet décoratif : menhir mini, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;796;30;1;S
74;3;3;Menhir moyen;Objet décoratif : menhir moyen, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;205;30;1;M
75;3;3;Phare min;Objet décoratif : phare min, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;511;30;1;S
76;3;3;Phare moyen;Objet décoratif : phare moyen, rappel des symboles bretons.;3;25.99;31.19;0;null;false;31.19;645;30;1;M
77;3;3;Gwenn ha du mini;Drapeau breton mini, symbole fort de l’identité bretonne.;3;3.99;4.79;0;null;false;4.79;561;30;1;S
78;3;3;Gwenn ha du moyen;Drapeau breton moyen, symbole fort de l’identité bretonne.;3;5.99;7.19;0;null;false;7.19;777;30;1;M
79;3;3;Gwenn ha du grand;Drapeau breton grand, symbole fort de l’identité bretonne.;3;9.99;11.99;0;null;false;11.99;185;30;1;L
80;3;3;Gwenn ha du très grand;Drapeau breton grand, symbole fort de l’identité bretonne.;3;19.99;23.99;0;null;false;23.99;391;30;1;XL
81;8;4;Carte postal paysage breton;Carte postal, idéale pour découvrir la Bretagne.;3;1.99;2.99;0;null;false;2.99;716;30;1;Piece
82;8;4;Carte postal drapeau breton;Carte postal, idéale pour découvrir la Bretagne.;3;1.99;2.99;0;null;false;2.99;768;30;1;Piece
83;7;4;Porte clés hermine;Souvenir breton : porte clés hermine, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;56;30;1;Piece
84;7;4;Porte clés triskel;Souvenir breton : porte clés triskel, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;206;30;1;Piece
85;7;4;Magnet hermine;Souvenir breton : magnet hermine, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;37;30;1;Piece
86;7;4;Magnet paysage breton;Souvenir breton : magnet paysage breton, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;81;30;1;Piece
87;7;4;Magnet drapeau breton;Souvenir breton : magnet drapeau breton, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;292;30;1;Piece
88;7;4;Magnet carte bretonne;Magnet de la carte de la Bretagne, parfait pour décorer votre réfrégirateur.;3;1.99;2.99;0;null;false;2.99;327;30;1;Piece
89;3;4;Crayon Bretagne;Souvenir breton : crayon Bretagne, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;98;30;1;Piece
90;3;4;Mug triskel;Souvenir breton : mug triskel, pratique et authentique.;3;4.99;5.99;0;null;false;5.99;659;30;1;Piece
91;3;4;Mug hermine;Souvenir breton : mug hermine, pratique et authentique.;3;4.99;5.99;0;null;false;5.99;448;30;1;Piece
92;3;4;Mug drapeau breton;Souvenir breton : mug drapeau breton, pratique et authentique.;3;4.99;5.99;0;null;false;5.99;137;30;1;Piece
93;8;4;Carte Bretagne;Carte Bretagne, idéale pour découvrir la Bretagne.;3;3.99;4.79;0;null;false;4.79;729;30;1;L
94;8;4;Carte Lannion;Carte de Lannion, idéale pour découvrir la ville de Lannion.;3;3.99;4.79;0;null;false;4.79;133;30;1;M
95;8;4;Carte Vannes;Carte de Vannes, idéale pour découvrir la ville de Vannes.;3;3.99;4.79;0;null;false;4.79;161;30;1;M
96;8;4;Carte Brest;Carte de Brest, idéale pour découvrir la ville de Brest.;3;3.99;4.79;0;null;false;4.79;141;30;1;M
97;8;4;Carte Lorient;Carte de Lorient, idéale pour découvrir la ville de Lorient.;3;3.99;4.79;0;null;false;4.79;386;30;1;M
98;3;4;Tote bag triskel;Souvenir breton : tote bag triskel, pratique et authentique.;3;4.99;5.99;0;null;false;5.99;47;30;1;Piece
99;3;4;Tote bag drapeau breton;Souvenir breton : tote bag drapeau breton, pratique et authentique.;3;4.99;5.99;0;null;false;5.99;118;30;1;Piece
100;7;4;plaque bretonne 29;Souvenir breton : plaque bretonne 29, pratique et authentique.;3;9.99;11.99;0;null;false;11.99;649;30;1;Piece
101;7;4;plaque bretonne 22;Souvenir breton : plaque bretonne 22, pratique et authentique.;3;9.99;11.99;0;null;false;11.99;358;30;1;Piece
102;7;4;plaque bretonne 56;Souvenir breton : plaque bretonne 56, pratique et authentique.;3;9.99;11.99;0;null;false;11.99;37;30;1;Piece
103;7;4;Plaque bretonne 35;Souvenir breton : plaque bretonne 35, pratique et authentique.;3;9.99;11.99;0;null;false;11.99;741;30;1;Piece
104;3;4;Peluche hermine;Peluche hermine, douce et symbolique de la Bretagne.;3;10.99;13.19;0;null;false;13.19;798;30;1;Piece
105;7;4;Pin’s drapeau breton;Souvenir breton : pin’s drapeau breton, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;759;30;1;Piece
106;7;4;Pin’s triskel;Souvenir breton : pin’s triskel, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;334;30;1;Piece
107;7;4;Pins hermine;Souvenir breton : pins hermine, pratique et authentique.;3;1.99;2.99;0;null;false;2.99;273;30;1;Piece
108;18;5;Gel douche odeur kouign-amann;Gel douche parfumé, pour un moment gourmand et original.;3;5.99;7.19;0;null;false;7.19;448;30;25;cl
109;18;5;Crème de bain aux algues;Une crème onctueuse qui transforme le bain en véritable moment de détente, enrichie en algues marines reminéralisantes.;3;6.99;8.39;0;null;false;8.39;783;30;50;cl
110;18;5;Beurre hydratant corps & visages;Un soin riche et nourrissant qui protège et hydrate intensément la peau du corps et du visage.;3;6.99;8.39;0;null;false;8.39;54;30;90;g
111;18;5;Crème main au chanvre et safran de Bretagne;Une crème apaisante et réparatrice, alliant les vertus nourrissantes du chanvre et l’élégance du safran breton.;3;5.99;7.19;0;null;false;7.19;119;30;120;g
112;18;5;Gommage corps thalasso au sel de Guérande et algues;Un exfoliant revitalisant qui associe le sel marin et les algues pour une peau douce et tonifiée.;3;9.99;11.99;0;null;false;11.99;249;30;20;cl
113;18;5;Sérum visage à l’acide hyaluronique et CBD;Un concentré hydratant et apaisant qui repulpe la peau et procure une sensation immédiate de confort.;3;15.99;19.19;0;null;false;19.19;865;30;3;cl
114;18;5;Gommage visage à la rose de Bretagne;Un soin délicat qui exfolie en douceur et révèle l’éclat naturel du teint grâce aux pétales de rose.;3;9.99;11.99;0;null;false;11.99;828;30;20;cl
